First Name,Last Name,First Pred,Second Pred,First Prob.,Second Prob.,Actual
Pedro,Pascal,Latino_Hispanic,Asian,0.942448097723837,0.9738372601947757,Latino_Hispanic
Bella,Ramsey,Black,White,0.6431003541342769,0.9162647435501763,White
Matilda,De Angelis,Latino_Hispanic,White,0.6296392782413298,0.8839230215838748,White
Rutina,Wesley,Black,White,0.6220443122627279,0.9069436105906822,Black
Kathryn,Newton,White,Black,0.6080863880544367,0.9459057064721772,White
Jonathan,Majors,White,Black,0.759462404294365,0.9394236467736108,Black
Richard,Belzer,White,Black,0.8864241008228398,0.9477730969754107,White
Annie,Wersching,White,Asian,0.620682212433477,0.7579237848900078,White
Evangeline,Lilly,Black,White,0.5696055048599701,0.8553943235665022,White
Madelyn,Cline,White,Black,0.5991896688195725,0.8872402580499945,White
Anna,Torv,White,Latino_Hispanic,0.8344841577822908,0.9134607024108897,White
Brendan,Fraser,White,Black,0.7063395533787626,0.9443845562823505,White
Natasha,Lyonne,Black,White,0.7924969603780275,0.8870925051916319,White
Melanie,Lynskey,White,Black,0.7559534615606922,0.9339841064132414,White
Cara,Delevingne,Black,White,0.5334670578462886,0.7561807724403102,White
Alexandra,Daddario,Latino_Hispanic,White,0.4262809407515605,0.8671096902068378,White
Jansen,Panettiere,White,Asian,0.7230803379093362,0.8488456552933705,White
Elizabeth,Banks,Black,White,0.7838719322580977,0.9295819514874744,White
Stella,Stevens,Black,White,0.476714368662143,0.9357760396764343,White
Mia,Goth,White,Asian,0.6717366339372159,0.7581398471396106,White
Nico,Parker,White,Black,0.4959051713973666,0.8392663683436972,White
Jeri,Ryan,White,Asian,0.8836676501707221,0.9222029294878844,White
Raquel,Welch,Latino_Hispanic,Black,0.4929756756918136,0.7577801713641631,White
Alison,Brie,White,Black,0.6583531377513282,0.9130677925978853,White
Tom,Sizemore,White,Black,0.6226379335275455,0.8469213723814644,White
Brandon,Sklenar,White,Asian,0.9423639708621198,0.967996238490417,White
Charlotte,Ritchie,Black,White,0.43714719270001273,0.9208235189812957,White
Jennifer Love,Hewitt,White,Black,0.6179523285249746,0.9165811409184975,White
Ashley,Johnson,Black,White,0.7432444577287197,0.963265356276283,White
Austin,Butler,Black,White,0.42761935907710036,0.9412539841676215,White
Cole,Hauser,White,Black,0.8256483815049099,0.9529418524615154,White
Tom,Cruise,White,Black,0.44993608056375695,0.7583742109274615,White
Isabel,May,Latino_Hispanic,Black,0.7227474283867837,0.837172726016783,White
Christa,Miller,White,Black,0.6231139558087406,0.9450841734014439,White
Alexander,Skarsgard,White,Latino_Hispanic,0.9109532596633151,0.9372857238753557,White
Paulina,Gaitan,Latino_Hispanic,White,0.9172245459885685,0.9337516021663189,Latino_Hispanic
Margot,Robbie,White,Black,0.5410800993558116,0.9072906748934397,White
Anya,Taylor-Joy,Black,White,0.5170795533419253,0.7445512619455483,White
Paul,Rudd,White,Black,0.6520738942658817,0.9265163414679144,White
Michelle,Pfeiffer,White,Latino_Hispanic,0.920732593218713,0.9386999024578105,White
Julia,Schlaepfer,White,Latino_Hispanic,0.9215479622934982,0.9692374765370868,White
Catherine,Haena Kim,Asian,White,0.405443550496566,0.7336821495086494,Asian
Emily,Blunt,Black,White,0.4835603115908439,0.9165848151927602,White
Gabriel,Luna,Latino_Hispanic,Asian,0.9495067667448727,0.9834563209849776,Latino_Hispanic
Bridget,Regan,White,Black,0.6630576008287243,0.9171314162665741,White
Joey,King,Black,White,0.49204200984723956,0.7267617581029592,White
Bruce,Willis,Black,White,0.5995427985844505,0.9737070873287829,White
Kelly,Reilly,White,Black,0.8795438200193698,0.9396358589235546,White
Milo,Ventimiglia,White,Latino_Hispanic,0.47342420907948596,0.9014168078946417,White
Brad,Pitt,White,Black,0.6564772800354935,0.958214516646071,White
Ashley,Greene,Black,White,0.589046692345691,0.9639831503265228,White
Murray,Bartlett,White,Black,0.7508397004609008,0.9408834065916631,White
Billy,Crudup,Black,Asian,0.886722478719889,0.9164529549973388,White
Leonardo,DiCaprio,Latino_Hispanic,White,0.9347209959715321,0.9629649919155269,White
Ashton,Kutcher,White,Black,0.8686786458801451,0.9361717855893166,White
Samara,Weaving,White,Black,0.6853209362008874,0.9057678649826179,White
Steven,Spielberg,White,Asian,0.9361319059303097,0.9628371226524749,White
Amanda,Plummer,White,Black,0.6003795748644274,0.9269520193861912,White
Cate,Blanchett,Black,White,0.5481647234998283,0.9156577906359973,White
Harrison,Ford,Black,White,0.6676177238857038,0.9554473197419963,White
